player_name,batting_average,strike_rate
V Saini (ROM),30.92,128.84
P Khadka (NEP),27.55,128.04
AA Obanda (KENYA),18.53,118.95
Ishan Kishan (IND),25.67,124.37
IA De Silva (BUL),24.84,115.21
V Vijh (LUX),21.91,105.2
Misbah-ul-Haq (PAK),37.52,110.2
Usman Ghani (AFG),25.35,107.23
G Mckeon (Fran),41.31,147
Azyan Farhath (MDV),28,84.66
Umar Adam (MDV),17.79,132.93
Basil Hameed (UAE),22.34,126.33
JP Kotze (NAM),21.66,118.72
T Manders (BER),35.4,127.49
V Balakrishnan (BOT),22.82,108.68
DMW Rawlins (BER),35.27,150.67
L Siaka (PNG),15.46,113.5
L Yamamoto-Lake (JPN),23.39,137.61
LA Dunbar (SRB),35.04,129.14
MNM Aslam (KUW),20.26,111.59
RR Rossouw (SA),34.86,159.79
KR Mayers (WI),21.77,138.29
LJ Wright (ENG),18.97,137
DJ Hussey (AUS),22.9,121.34
Yasir Ali (ESP),26.96,100.26
S Wickramasekara (CZK-R),27.7,149.89
MD Gunathilaka (SL),16.46,120.48
S Ravichandran (JPN),25.55,134.48
Ahmer Bin (BHR),24.6,120.19
AR Ramjani (UGA),25.37,131.19
K Waiswa (UGA),16,106.97
I Danladi (NGA),23.67,126.11
PBB Rajapaksa (SL),22.9,132.78
MA Leask (SCOT),15.44,130.34
C Rubagumya (RWN),13.69,85.21
MJ Santner (NZ),16.86,120.23
MR Adair (IRE),14.48,125.47
Basil George (MLT),22.62,124.18
YBK Jaiswal (IND),36.15,164.31
BFW de Leede (NED),25.78,102.12
JN Frylinck (NAM),21.2,107.45
MEK Hussey (AUS),37.94,136.29
Muhammad Muneeb (Belg),23.9,118.12
SJ Baard (NAM),28.56,112.97
T Marumani (ZIM),17.82,129.63
PW Hasaranga (SL),13.43,128.98
RS Bopara (ENG),28.44,118.69
NR Kumar (CAN/USA),25.39,125.39
J Mees (LUX),22.15,118.16
MK Pandey (IND),44.31,126.15
W Niyitanga (RWN),12.87,82.51
HC Brook (ENG),30.73,146.07
PR Surve (INA),35.35,109.44
R Bakum (GHA),19.08,115.92
JP Inglis (AUS),30.69,156.88
KD Shah (HKG),19.08,106.96
CK Kapugedera (SL),22.67,118.95
D Kansonkho (MWI),18.42,93.33
A Mansale (VAN),24.1,119.28
CJ Anderson (NZ/USA),24.89,126.03
Naseem Khushi (OMA),19.33,157.46
N Vanua (PNG),18.81,136.47
Zeeshan Ali (HKG),28.95,139.55
S Adedeji (NGA),20.35,86.39
AGS Gous (USA),32.95,145.68
Karim Janat (AFG),17.71,115.93
KD Karthik (ICC/IND),26.38,142.61
Towhid Hridoy (BAN),28.5,129.05
O Harvey (GHA),20.69,98.27
Saqlain Arshad (QAT),23.55,128.86
RW Chakabva (ZIM),14.51,122.44
Shadab Khan (PAK),17.86,139.71
J Rasu (VAN),19.85,110.29
TS Bharaj (DEN),23.24,118.66
T Bavuma (SA),21.61,118.16
T Stubbs (SA),29.13,134.8
KC D'Souza (BUL),27.87,154.86
CJ Chibhabha (ZIM),19.05,109.52
JH Kallis (SA),35.05,119.35
AP Yadav (THA),30.27,115.62
BJ Bennett (ZIM),26.4,142.24
TLW Cooper (NED),23.53,129.46
SKS Gill (LUX),24.33,101.07
KJ Stagno (GIBR),28.52,177.29
A Ashokan (CZK-R),27.29,112.93
Ravinderpal Singh (CAN),27.29,145.23
DJM Short (AUS),30.57,118.88
D Doyle-Calle (ESP),26.66,131.68
PW Borren (NED),19.33,121.75
D Ramdin (WI),18.7,115.42
RD Gaikwad (IND),39.56,143.53
Mohammad Nadeem (OMA),20.32,111.7
ST Jayasuriya (SL),23.29,129.15
SSM Stanislaus (MLT),20.22,103.29
Khawar Ali (OMA),19.56,98.58
D Wiese (NAM/SA),24,127.86
Aaron Jones (USA),23,110.69
MR Swart (NED),27,115.64
H Singh (GER),23.8,127.1
IO Okpe (NGA),14.34,106.56
NT Tilak Varma (IND),51.33,161.25
Yasim Murtaza (HKG),17.05,119.22
MN Waller (ZIM),26.65,138.37
CV Anto (KUW),21.85,148.54
J Bulele (MOZ),24.48,93.57
Ayaan Khan (OMA),18.96,108
R Obuya (UGA),22.48,122.87
NG Collins (FIN),26.26,98.69
Mohammed Rizlan (QAT),20.62,113.25
Noor Ali Zadran (AFG),27.13,101.87
Adil Butt (SWZ),31.36,143.26
Salman Butt (PAK),28.33,107.98
PM Seelaar (NED),17.38,111.09
Janak Prakash (SGP),20.27,125.91
DJG Sammy (WI/World),17.26,147.48
BA Stokes (ENG),21.66,128
PD Collingwood (ENG/World),18.8,127.01
DR Smith (WI),18.18,122.78
P Baron (Arg),25.26,115.96
Bilal Tahir (KUW),18.64,135.68
P Mishra (BUL),13.76,120.16
Saim Hussain (BUL),38.53,146.7
Shubman Gill (IND),30.42,139.27
SB Styris (NZ),21.4,119.66
Asif Ali (PAK),15.18,133.87
V Ganesan (GER),18.61,105.67
VB Chikkannaiah (GER),23,100.7
SA Ahmad (DEN),22.96,105.7
B Ward (JER),24.91,131.12
JA Morkel (SA),21.18,142.28
Dylan Steyn (CZK-R),27.04,132.4
Selim Salau (NGA),29.73,109.7
NR Kirton (CAN),28.2,119.74
Mohammad Ihsan (ESP),35.12,157.86
TW Nightingale (GUE),21.61,126.86
AM Tribe (JER),26.66,125
Aritra Dutta (SGP),22.36,137
SKA Awiah (GHA),18.63,93.01
MO Kitunda (TAN),13.3,93.79
MD Patel (USA),19.82,124.43
IK Gamantika (INA),17.87,95.35
Imad Wasim (PAK),15.82,130.04
Manan Ali (KSA),21.3,137.12
Adnan Idrees (KUW),15.8,134.87
M Levitt (NED),34.5,143.75
MJ Lumb (ENG),21.23,133.65
SO Ngoche (KENYA),13.46,110.62
FA Cossa (MOZ),26.19,119.56
GA Priandana (INA),17.74,102.23
Hamza Dar (ESP),28.78,134.06
S Singh (KENYA),20.18,107.28
Mohamed Rishwan (MDV),16.48,91.89
HS Gericke (MLT),27.05,163.93
Karim Sadiq (AFG),14.94,109.12
NM Odhiambo (KENYA),15.82,104.66
R Shepherd (WI),26.85,139.11
ND Laegsgaard (DEN),23.17,148.05
RN ten Doeschate (NED),41,132.91
Iqbal Hossain (Aut),25.33,162.19
AV Lazarus (THA),29.55,120.36
Talha Khan (GER),23.13,103.5
G Kansonkho (MWI),17.09,84.93
Imran Ali Butt (BHR),22.04,99.06
Muhammad Amir (MAS),14.29,104.96
M Taylor (Bhm),22.95,105.6
C Kieswetter (ENG),21.91,111.91
Raza Iqbal (NOR),18.71,117.75
